"Region","Color code","Comment"
"Алтайский край","#49C0B5",
"Амурская область","#49C0B5",
"Архангельская область","#49C0B5",
"Астраханская область","#3D4C76",
"Белгородская область","#3D4C76",
"Брянская область","#3D4C76",
"Владимирская область","#49C0B5",
"Волгоградская область","#49C0B5",
"Вологодская область","#3D4C76",
"Воронежская область","#3D4C76",
"Еврейская автономная область","#3D4C76",
"Забайкальский край","#3D4C76",
"Ивановская область","#3D4C76",
"Иркутская область","#49C0B5",
"Кабардино-Балкарская Республика","#49C0B5",
"Калининградская область","#49C0B5",
"Калужская область","#49C0B5",
"Камчатский край","#3D4C76",
"Карачаево-Черкесская Республика","#3D4C76",
"Кемеровская область","#49C0B5",
"Кировская область","#3D4C76",
"Костромская область","#3D4C76",
"Краснодарский край","#49C0B5",
"Красноярский край","#F0E68C","Отменен режим карантина для прибывающих из Москвы и Петербурга."
"Курганская область","#3D4C76",
"Курская область","#49C0B5",
"Ленинградская область","#49C0B5",
"Липецкая область","#3D4C76",
"Магаданская область","#3D4C76",
"Московская область","#49C0B5",
"Мурманская область","#49C0B5",
"Нижегородская область","#49C0B5",
"Новгородская область","#3D4C76",
"Новосибирская область","#49C0B5",
"Омская область","#49C0B5",
"Оренбургская область","#3D4C76",
"Орловская область","#49C0B5",
"Пензенская область","#3D4C76",
"Пермский край","#49C0B5",
"Приморский край","#49C0B5",
"Псковская область","#3D4C76",
"Республика Адыгея","#F0E68C","На территорию республики можно въехать только с разрешением и на личном автотранспорте."
"Республика Алтай","#3D4C76",
"Республика Башкортостан","#49C0B5",
"Республика Бурятия","#49C0B5",
"Республика Дагестан","#3D4C76",
"Республика Ингушетия","#49C0B5",
"Республика Калмыкия","#3D4C76",
"Республика Карелия","#F0E68C","Карантина нет только для тех, кто едет в Рускеалу или на Валаамский архипелаг (его уже открыли для туристов)."
"Республика Коми","#3D4C76",
"Республика Марий Эл","#3D4C76",
"Республика Мордовия","#3D4C76",
"Республика Саха (Якутия)","#3D4C76",
"Республика Северная Осетия — Алания","#3D4C76",
"Республика Татарстан","#49C0B5",
"Республика Тыва","#3D4C76",
"Республика Хакасия","#49C0B5",
"Ростовская область","#3D4C76",
"Рязанская область","#3D4C76",
"Самарская область","#3D4C76",
"Саратовская область","#3D4C76",
"Сахалинская область","#3D4C76",
"Свердловская область","#49C0B5",
"Смоленская область","#49C0B5",
"Ставропольский край","#3D4C76",
"Тамбовская область","#49C0B5",
"Тверская область","#49C0B5",
"Томская область","#F0E68C","Режим самоизоляции сохраняется только для прибывающих из Республики Саха (Якутия)."
"Тульская область","#49C0B5",
"Тюменская область","#49C0B5",
"Удмуртская Республика","#49C0B5",
"Ульяновская область","#49C0B5",
"Хабаровский край","#3D4C76",
"Челябинская область","#49C0B5",
"Чеченская Республика","#3D4C76",
"Чувашская Республика","#3D4C76",
"Чукотский автономный округ","#3D4C76",
"Ярославская область","#49C0B5",
"Санкт-Петербург","#49C0B5",
"Москва","#49C0B5",
"Ненецкий автономный округ","#3D4C76",
"Ханты-Мансийский автономный округ","#F0E68C","Режим самоизоляции сохраняется только для прибывающих из республик Башкортостан, Дагестан, Саха (Якутия)."
"Ямало-Ненецкий автономный округ","#F0E68C","Нужно иметь справку об отсутствии COVID-19."
"Севастополь","#3D4C76",
"Республика Крым","#F0E68C","Но есть ограничения: крымские санатории и гостиницы встречают пока только крымчан. Туристов из других регионов страны будут принимать с 1 июля. Как вариант — можете снимать жилье у местных жителей, если собираетесь отдохнуть в июне."
